"SUID","__glayCluster","Acession number","Altitude","any other important information","any other important information.1","any other important information.2","AverageShortestPathLength","Awn Colour","Awn Type","BetweennessCentrality","Biological status","Breeder","ClosenessCentrality","ClusteringCoefficient","Collection site","continent","Country of origin","Degree","Eccentricity","Genome","Glume Colour","Glume surface","Grain Colour","group","Growth habit","Harvest year","IsSingleNode","Kilian/IPK sowing no. 2010","Kilian/IPK sowing no. 2011","Kilian/IPK sowing no. 2012","Latitude","Location of multiplication","Longitude","name","NeighborhoodConnectivity","No.","NumberOfDirectedEdges","NumberOfUndirectedEdges","Other number","Parental line","PartnerOfMultiEdgedNodePairs","Pedigree","Plant","Population","Radiality","Replication","Seed source","selected","SelfLoops","shared name","SMTA related info","Source genebank","Stress","subgenomeA","subgenomeB","subgenomeD","taxon","TaxonCluster","Taxonomy","Taxonomy1","Taxonomy2","TopologicalCoefficient","Variety/Genotype","Wax","wordcloud.sync","Year listed / recommended / Acquisition year / released / collected"
"541","2","PI 362071",,"","","SSD","2.69341564","","","0.0","landrace","","0.37127578","1.0","Cluj","Europe","Romania","5","6","BA","","","","tetraploid","na","2011.0","false","","620.0","620.0","","""IPK """"little field""""""","","Triticum_dicoccon.WW-267","52.5","","5","0","","","1","","2","wheat wild relatives and neglected","0.81184271","","Kilian","false","0","WW-267","","","0","true","true","false","Triticum_dicoccon",,"Triticum","dicoccon Schrank","subsp. dicoccon","0.328125","","","false","na"
"540","2","8943",,"III; Ic","","SSD","2.08436214","","","8.9421E-4","wild","","0.47976308","0.73333333","IRN, 58.8 km N from Kermanshah to Ravansar","Asia","Iran","16","6","BA","","","","tetraploid","na","2011.0","false","","4128.0","4128.0","","""IPK """"little field""""""","","Triticum_dicoccoides.WW-261","101.5","","16","0","","","6","","1","wheat wild relatives and neglected","0.87951532","","Kilian","false","0","WW-261","","","2182","true","true","false","Triticum_dicoccoides",,"Triticum","dicoccoides (Koern. ex Aschers. et Graebn.) Schweinf.","subsp. dicoccoides","0.22706935","","","false","na"
"539","2","",,"","","","2.06995885","","","0.00202572","synthetic hexaploid","","0.48310139","0.76825397","","na","na","41","7","BAD","","","","III","Facultative",,"false","",,,"","","","Triticum_durum_x_Aegilops_tauschii.WW-066","209.13888889","","41","0","","","3","",,"","0.88111568","","IPK/ Börner","false","0","WW-066","","","24916","true","true","true","Triticum_durum_x_Aegilops_tauschii",,"Triticum","aestivum","","0.46682788","Synthetics R93","","false","na"
"538","4","",,"","","","2.95679012","","","8.3256E-4","landrace","-","0.33820459","0.86666667","","Asia","Turkey","9","7","BA","","","","tetraploid","Alternative/Spring",,"false","",,,"","","","Triticum_durum.WW-203","15.5","","9","0","","","3","",,"","0.78257888","","Hakan Özkan","false","0","WW-203","","","15660","true","true","false","Triticum_durum",,"Triticum","durum Desf.","","0.28703704","Mersiye","","false","na"
"537","4","",,"","","","2.95473251","","","8.4424E-4","landrace","-","0.33844011","0.80952381","","Asia","Turkey","12","7","BA","","","","tetraploid","Alternative/Spring",,"false","",,,"","","","Triticum_durum.WW-200","14.57142857","","12","0","","","5","",,"","0.7828075","","Hakan Özkan","false","0","WW-200","","","15686","true","true","false","Triticum_durum",,"Triticum","durum Desf.","","0.26984127","Menceki","","false","na"
"536","2","13812",,"supplementary accessions","","","2.0617284","","","0.00584115","synthetic hexaploid","","0.48502994","0.6968254","","America","Mexico","45","7","BAD","","","","III","Spring",,"false","",,,"","","","Triticum_durum_x_Aegilops_tauschii.WW-486","208.91666667","","45","0","","","7","",,"INRA wheat Core Collection","0.88203018","","Balfourier","false","0","WW-486","INRA SMTA signed by IPK admin","","63026","true","true","true","Triticum_durum_x_Aegilops_tauschii",,"Triticum","aestivum","","0.46220501","SYNTHETIQUE-W7984","","false","na"
"535","4","",,"","","","2.92386831","","","0.00159048","landrace","-","0.34201267","0.71428571","","Asia","Turkey","11","7","BA","","","","tetraploid","Alternative/Spring",,"false","",,,"","","","Triticum_durum.WW-201","17.125","","11","0","","","3","",,"","0.78623685","","Hakan Özkan","false","0","WW-201","","","28474","true","true","false","Triticum_durum",,"Triticum","durum Desf.","","0.26346154","Durnadili","","false","na"
"534","4","122619",,"5 original","","","2.95473251","","","8.4424E-4","landrace","","0.33844011","0.80952381","Kerman","Asia","Iran","11","7","BA","","","","I","spring",,"false","",,,"N 30 18","","E57 05","Triticum_durum.WW-225","14.57142857","","11","0","ICBW 208882","","4","",,"","0.7828075","","Beat Keller","false","0","WW-225","","ICARDA","15686","true","true","false","Triticum_durum",,"Triticum","durum Desf.","","0.26984127","","","false","na"
"533","4","",,"Very late and tall, parent of RILs, US cultivar","","","2.90534979","","","2.0842E-4","na","","0.34419263","0.57777778","","America","USA","17","7","BA","","","","tetraploid","na",,"false","",,,"","","","Triticum_durum.WW-178","17.2","","17","0","","","7","",,"","0.78829447","","Saranga/Fahima","false","0","WW-178","","","436","true","true","false","Triticum_durum",,"Triticum","durum Desf.","","0.23888889","Langdon","","false","na"
"532","2","",,"","","","2.10082305","","","0.00189812","synthetic hexaploid","","0.47600392","0.68666667","","na","na","34","7","BAD","","","","III","na",,"false","",,,"","","","Triticum_durum_x_Aegilops_tauschii.WW-171","182.12","","34","0","","","7","",,"Parent ITMI population (synthetic wheat)","0.87768633","","Marion Röder","false","0","WW-171","","","21918","true","true","true","Triticum_durum_x_Aegilops_tauschii",,"Triticum","aestivum","","0.41018018","M6","","false","na"
"531","4","DIC 169",,"","","SSD","2.13168724","","","0.00263084","cultivar","","0.46911197","0.50549451","","Europe","France","20","7","BA","","","","tetraploid","na","2011.0","false","","674.0","674.0","","""IPK """"little field""""""","","Triticum_durum.WW-245","87.78571429","","20","0","","","6","","1","wheat wild relatives and neglected","0.87425697","","Kilian","false","0","WW-245","","","20686","true","true","false","Triticum_durum",,"Triticum","durum Desf.","subsp. durum","0.19906058","","","false","1990"
"530","2","",,"","","","1.9526749","","","2.2045E-4","current variety","KWS UK","0.51211802","0.73881591","","Europe","United Kingdom","121","7","BAD","","","","IV","Spring",,"false","",,,"","","","Triticum_aestivum.WW-035","193.04854369","","121","0","","","14","",,"","0.89414723","","KWS?","false","0","WW-035","","","2818","true","true","true","Triticum_aestivum","T. aestivum α","Triticum","aestivum","","0.43577549","Granary","","false","2009"
"529","3","20074",,"","","","2.63786008","","","2.6E-7","cultivar","","0.37909516","0.66666667","","Europe","Ukraine","7","8","BAD","","","","IV","Winter",,"false","",,,"","","","Triticum_aestivum.WW-307","148.5","","7","0","","","2","",,"NAM INRA","0.81801555","","Balfourier","false","0","WW-307","INRA SMTA signed by IPK admin","","4","true","true","true","Triticum_aestivum","T. aestivum γ","Triticum","aestivum","","0.59163347","Mirleben","","false","1993"
"528","2","24056",,"","","","2.03703704","","","1.7019E-4","landrace","","0.49090909","0.78088578","","Asia","Turkey","79","7","BAD","","","","I","Winter",,"false","",,,"","","","Triticum_aestivum.WW-467","187.6969697","","79","0","","","11","",,"INRA wheat Core Collection","0.88477366","","Balfourier","false","0","WW-467","INRA SMTA signed by IPK admin","","1024","true","true","true","Triticum_aestivum","T. aestivum α","Triticum","aestivum","","0.42755574","Landrace","","false","1928"
"527","2","23933",,"","","","2.0617284","","","2.6239E-4","landrace","","0.48502994","0.64598997","","Asia","India","64","7","BAD","","","","I","Spring",,"false","",,,"","","","Triticum_aestivum.WW-457","152.15789474","","64","0","","","5","",,"INRA wheat Core Collection","0.88203018","","Balfourier","false","0","WW-457","INRA SMTA signed by IPK admin","","1196","true","true","true","Triticum_aestivum","T. aestivum α","Triticum","aestivum","","0.348986","Punjab Tipe 24","","false","1928"
"526","2","PI 654265",,"TJK2006:205","","SSD","2.13580247","","","1.433E-5","landrace","","0.46820809","0.86956522","Khujand","Asia","Tajikistan","25","7","BAD","","","","I","na","2011.0","false","","10.0","10.0","","""IPK """"little field""""""","","Triticum_aestivum.WW-228","151.82608696","","25","0","","","1","","2","wheat wild relatives and neglected","0.87379973","","Kilian","false","0","WW-228","","","66","true","true","true","Triticum_aestivum","T. aestivum α","Triticum","aestivum","hadropyrum (Flaksb.)Tzvel.","0.34982969","","","false","na"
"525","2","24075",,"","","","2.11316872","","","7.006E-5","old cultivar","","0.47322298","0.7540107","","Asia","Pakistan","40","7","BAD","","","","I","Winter",,"false","",,,"","","","Triticum_aestivum.WW-469","144.79411765","","40","0","","","5","",,"INRA wheat Core Collection","0.87631459","","Balfourier","false","0","WW-469","INRA SMTA signed by IPK admin","","276","true","true","true","Triticum_aestivum","T. aestivum α","Triticum","aestivum","","0.333627","Spin121var12536","","false","<1933"
"524","2","AUS10963",,"40","","","2.13580247","","","9.92E-6","landrace","","0.46820809","0.85964912","","Asia","Afghanistan","23","7","BAD","","","","I","spring",,"false","",,,"","","","Triticum_aestivum.WW-207","194.89473684","","23","0","","","2","",,"","0.87379973","","Beat Keller","false","0","WW-207","","AWCC","72","true","true","true","Triticum_aestivum","T. aestivum α","Triticum","aestivum","","0.44496515","H996","","false","na"
"523","2","AUS13636",,"36","","","2.08024691","","","1.6776E-4","landrace","","0.48071217","0.67777778","","Asia","Afghanistan","53","7","BAD","","","","I","spring",,"false","",,,"","","","Triticum_aestivum.WW-208","141.46666667","","53","0","","","6","",,"","0.87997257","","Beat Keller","false","0","WW-208","","AWCC","770","true","true","true","Triticum_aestivum","T. aestivum α","Triticum","aestivum","","0.32224753","H995","","false","na"
"522","2","2135",,"","","","2.15020576","","","5.34E-6","old cultivar","","0.46507177","0.95604396","","Asia","China","16","7","BAD","","","","I","Spring",,"false","",,,"","","","Triticum_aestivum.WW-476","204.71428571","","16","0","","","1","",,"INRA wheat Core Collection","0.87219936","","Balfourier","false","0","WW-476","INRA SMTA signed by IPK admin","","20","true","true","true","Triticum_aestivum","T. aestivum α","Triticum","aestivum","","0.47060755","CHINESE_SPRING","","false","1900"
"521","2","5108",,"","","","2.14609053","","","6.53E-6","old cultivar","","0.46596357","0.92631579","","Asia","Nepal","29","7","BAD","","","","II","Winter",,"false","",,,"","","","Triticum_aestivum.WW-397","147.15","","29","0","","","5","",,"INRA wheat Core Collection","0.87265661","","Balfourier","false","0","WW-397","INRA SMTA signed by IPK admin","","28","true","true","true","Triticum_aestivum","T. aestivum α","Triticum","aestivum","","0.340625","NACHIPUNDO","","false","na"
"520","2","4207",,"supplementary accessions","","","2.14609053","","","7.71E-6","old cultivar","","0.46596357","0.92631579","","Asia","Nepal","33","7","BAD","","","","II","Spring",,"false","",,,"","","","Triticum_aestivum.WW-483","140.85","","33","0","","","9","",,"INRA wheat Core Collection","0.87265661","","Balfourier","false","0","WW-483","INRA SMTA signed by IPK admin","","28","true","true","true","Triticum_aestivum","T. aestivum α","Triticum","aestivum","","0.32604167","KULUNG","","false","na"
"519","2","6198",,"","","","2.13168724","","","2.091E-5","old cultivar","","0.46911197","0.87","","Asia","Nepal","34","7","BAD","","","","II","Winter",,"false","",,,"","","","Triticum_aestivum.WW-414","137.36","","34","0","","","5","",,"INRA wheat Core Collection","0.87425697","","Balfourier","false","0","WW-414","INRA SMTA signed by IPK admin","","86","true","true","true","Triticum_aestivum","T. aestivum α","Triticum","aestivum","","0.3164977","RITAK","","false","na"
"518","2","2141",,"supplementary accessions","","","2.13168724","","","2.08E-5","old cultivar","","0.46911197","0.86","","Asia","Nepal","35","7","BAD","","","","II","Spring",,"false","",,,"","","","Triticum_aestivum.WW-479","138.36","","35","0","","","7","",,"INRA wheat Core Collection","0.87425697","","Balfourier","false","0","WW-479","INRA SMTA signed by IPK admin","","92","true","true","true","Triticum_aestivum","T. aestivum α","Triticum","aestivum","","0.31880184","CHIRKUNG","","false","na"
"517","2","1313",,"supplementary accessions","","","2.12757202","","","1.708E-5","old cultivar","","0.47001934","0.88537549","","Asia","Nepal","33","7","BAD","","","","II","Spring",,"false","",,,"","","","Triticum_aestivum.WW-477","155.52173913","","33","0","","","7","",,"INRA wheat Core Collection","0.87471422","","Balfourier","false","0","WW-477","INRA SMTA signed by IPK admin","","132","true","true","true","Triticum_aestivum","T. aestivum α","Triticum","aestivum","","0.35507246","BENCHUNG","","false","na"
"516","2","TRI 3835",,"Colecção do Prof. Vasconcellos","","","2.13168724","","","2.083E-5","landrace","","0.46911197","0.86333333","","Europe","Portugal","37","7","BAD","","","","I","na",,"false","",,,"","","","Triticum_aestivum.WW-140","136.16","","37","0","","","7","",,"","0.87425697","","Wanda Viegas","false","0","WW-140","","IPK","90","true","true","true","Triticum_aestivum","T. aestivum α","Triticum","aestivum","aestivum","0.31373272","Portugues","","false","<1933"
"515","2","TRI 3824",,"Colecção do Prof. Vasconcellos","","","2.12962963","","","2.537E-5","landrace","","0.46956522","0.84307692","","Europe","Portugal","39","7","BAD","","","","I","na",,"false","",,,"","","","Triticum_aestivum.WW-138","145.96153846","","39","0","","","7","",,"","0.8744856","","Wanda Viegas","false","0","WW-138","","IPK","110","true","true","true","Triticum_aestivum","T. aestivum α","Triticum","aestivum","milturum Mansf.","0.33631691","Alentejano","","false","<1933"
"514","2","VIR23728",,"2 original","","","2.12757202","","","1.269E-5","landrace","","0.47001934","0.89328063","","Africa","Turkmenistan","28","7","BAD","","","","I","na",,"false","",,,"","","","Triticum_aestivum.WW-212","162.56521739","","28","0","","","4","",,"","0.87471422","","Beat Keller","false","0","WW-212","","VIR","92","true","true","true","Triticum_aestivum","T. aestivum α","Triticum","aestivum","","0.37115346","","","false","na"
