Whealbi serial number	Taxonomy	Taxonomy	Taxonomy	Variety/Genotype	Acession number	Genome	Country of origin	Collection site	Altitude	Latitude	Longitude	Growth habit	Biological status	Year listed / recommended; acquisition year; released	Pedigree	Population	Seed source	Source genebank	Breeder
WW-470	Triticum	aestivum		Albidum 12	24108	BAD	Russia					Spring	cultivar	1980		INRA wheat Core Collection	Balfourier		
WW-471	Triticum	aestivum		Palestinskaya	24180	BAD	Israel					Spring	landrace	1927		INRA wheat Core Collection	Balfourier		
WW-472	Triticum	aestivum		Landrace	24184	BAD	Israel					Spring	landrace	1927		INRA wheat Core Collection	Balfourier		
WW-473	Triticum	aestivum		Landrace	24185	BAD	Turkmenia					Winter	landrace	1948		INRA wheat Core Collection	Balfourier		
WW-474	Triticum	aestivum		Landrace	24193	BAD	Azerbaijan					Spring	landrace	1927		INRA wheat Core Collection	Balfourier		
WW-475	Triticum	aestivum		Ardito	24209	BAD	Italy					Spring	old cultivar	1916		INRA wheat Core Collection	Balfourier		
WW-476	Triticum	aestivum		CHINESE_SPRING	2135	BAD	China					Spring	cultivar				Balfourier		
WW-477	Triticum	aestivum		BENCHUNG	1313	BAD	Nepal					Spring	old cultivar			INRA wheat Core Collection	Balfourier		
WW-478	Triticum	aestivum		CHANATE	2072	BAD	Mexico					Spring	cultivar	1971		INRA wheat Core Collection	Balfourier		
WW-479	Triticum	aestivum		CHIRKUNG	2141	BAD	Nepal					Spring	old cultivar			INRA wheat Core Collection	Balfourier		
WW-480	Triticum	aestivum		CHYAMTANG	2171	BAD	Nepal					Spring	old cultivar			INRA wheat Core Collection	Balfourier		
WW-481	Triticum	aestivum		FRONTHATCH	3170	BAD	USA					Spring	cultivar	1963		INRA wheat Core Collection	Balfourier		
WW-482	Triticum	aestivum		GHURKA	3306	BAD	Australia					Spring	old cultivar	1924		INRA wheat Core Collection	Balfourier		
WW-483	Triticum	aestivum		KULUNG	4207	BAD	Nepal					Spring	old cultivar			INRA wheat Core Collection	Balfourier		
WW-484	Triticum	aestivum		Mexique 58	4776	BAD	Mexico					Spring	Breeding line	1974		INRA wheat Core Collection	Balfourier		
WW-485	Triticum	aestivum		NORIN 29	5250	BAD	Japan					Spring	old cultivar	1949		INRA wheat Core Collection	Balfourier		
WW-486	Triticum	aestivum		SYNTHETIQUE-W7984	13812	BAD	Mexico					Spring	Breeding line			INRA wheat Core Collection	Balfourier		
WW-487	Triticum	aestivum		Punjab Tipe 18	23934	BAD	India					Spring	Landrace	1928		INRA wheat Core Collection	Balfourier		
WW-488	Triticum	aestivum		Landrace	23944	BAD	China					Spring	Landrace	1930		INRA wheat Core Collection	Balfourier		
WW-489	Triticum	aestivum		Landrace	23945	BAD	China					Spring	Landrace	1930		INRA wheat Core Collection	Balfourier		
WW-490	Triticum	aestivum		Landrace	23970	BAD	Tajikistan					Spring	Landrace	1935		INRA wheat Core Collection	Balfourier		
WW-491	Triticum	aestivum	var. milturum	Russischer Korschow 149	TRI 5081	BAD	Russia					Winter	Landrace			GENDIV	Kilian	IPK	
WW-492	Triticum	aestivum		Favori	WC040	BAD	France						Landrace			JIC Watkins collection 			
WW-493	Triticum	aestivum			WC044	BAD	Morocco	Granja Agricola, Quebdana, Melilla		35N 3W			Landrace			JIC Watkins collection 			
WW-494	Triticum	aestivum		Douchani	WC045	BAD	Syria	Lebanon, Bekaa, Baalbek, Damascus					Landrace			JIC Watkins collection 			
WW-495	Triticum	aestivum		Dolatkhani (white)	WC079	BAD	India	United Provinces					Landrace			JIC Watkins collection 			
WW-496	Triticum	aestivum		Gahu (Nepali) or Kyo (Sikkimese)	WC081	BAD	India	Sikkim		27N 89E			Landrace			JIC Watkins collection 			
WW-497	Triticum	aestivum		Desi	WC092	BAD	India	Jaswantnagar market, Etawa, United Provinces		27N 79E			Landrace			JIC Watkins collection 			
WW-498	Triticum	aestivum		Deve	WC281	BAD	Greece	Karditza & Trikkala districts of Thessalia					Landrace			JIC Watkins collection 			
WW-499	Triticum	aestivum			WC324	BAD	China	Yu Mao Grain Store, Hatamen Street, Peking. Ggown in city suburbs					Landrace			JIC Watkins collection 			
WW-500	Triticum	aestivum			WC325	BAD	United Kingdom						Landrace			JIC Watkins collection 			
WW-501	Triticum	aestivum		Soor Ghanum	WC433	BAD	India	Musafirpur, Upper Zhob, Baluchistan		32N 68E			Landrace			JIC Watkins collection 			
WW-502	Triticum	aestivum			WC440	BAD	China						Landrace			JIC Watkins collection 			
WW-503	Triticum	aestivum			WC474	BAD	Afghanistan						Landrace			JIC Watkins collection 			
WW-504	Triticum	aestivum		Surka Oscista	WC483	BAD	Poland						Landrace			JIC Watkins collection 			
WW-505	Triticum	aestivum			WC562	BAD	Greece	Tripolis district, Peloponese					Landrace			JIC Watkins collection 			
WW-506	Triticum	aestivum			WC566	BAD	Greece	Pygros district, Peloponese					Landrace			JIC Watkins collection 			
WW-507	Triticum	aestivum			WC637	BAD	Turkey	Kirk Agach, 50 miles NE of Izmir		39N 28E			Landrace			JIC Watkins collection 			
WW-508	Triticum	aestivum		Gahu (Nepali) or Kyo (Sikkimese)	WC732	BAD	India	Sikkim		27N 89E			Landrace			JIC Watkins collection 			
WW-509	Triticum	aestivum			WC740	BAD	USSR	Siberia					Landrace			JIC Watkins collection 			
WW-510	Triticum	aestivum			WC742	BAD	Algeria						Landrace			JIC Watkins collection 			
WW-511	Triticum	aestivum		Abi	WC789	BAD	USSR	Kunduz, Turkestan		26N 86E			Landrace			JIC Watkins collection 			
WW-512	Triticum	aestivum			WC816	BAD	Italy	Piacenza					Landrace			JIC Watkins collection 			
WW-241	Triticum 	sphaerococcum Perciv.			PI 83402	BAD 	China	Jiangsu					landrace			wheat wild relatives and neglected	Kilian		
WW-247	Aegilops	tauschii Coss.	subsp. tauschii		IG 48508	D	Turkmenia	Yarti-Kala; 12 km S Kara-Kala					wild			wheat wild relatives and neglected	Kilian		
WW-229	Triticum	 araraticum Jakubz.	subsp. kurdistanicum Dorof. et Migusch.		IG 119456	GA	Syria	Kafr Nabil; 2 km S					wild			wheat wild relatives and neglected	Kilian		
WW-230	Triticum	 araraticum Jakubz.	subsp. kurdistanicum Dorof. et Migusch.		TR 17 TP061-TP063	GA	Iraq	Iraq, Salahadin; 36°23`N, 44°17`E					wild			wheat wild relatives and neglected	Kilian		
WW-231	Triticum	 araraticum Jakubz.	subsp. araraticum		TR 99 TP083-TP087	GA	Turkey	Turkey, 39.9 km N from Elazig to Hozat					wild			wheat wild relatives and neglected	Kilian		
WW-232	Triticum	 araraticum Jakubz.	subsp. kurdistanicum Dorof. et Migusch.		TR 51 TP065-1	GA	Iraq	14 km S from Sulaymaniyah to Qara Dagh								wheat wild relatives and neglected	Kilian		
WW-233	Triticum	 araraticum Jakubz.	subsp. araraticum		TR 61 TP071-2	GA	Iraq	53 km NW from Sulaymaniyah to Dukan Dam								wheat wild relatives and neglected	Kilian		
WW-234	Triticum	 araraticum Jakubz.	subsp. kurdistanicum Dorof. et Migusch.		TR 69 TP072-2	GA	Iraq	19.1 km W Shaqlawa to Arbil								wheat wild relatives and neglected	Kilian		
WW-235	Triticum	 araraticum Jakubz.	subsp. kurdistanicum Dorof. et Migusch.		TR 94 TP078-1	GA	Turkey	26.3 km NE from Mardin to Midyat								wheat wild relatives and neglected	Kilian		
WW-236	Triticum	 araraticum Jakubz.	subsp. kurdistanicum Dorof. et Migusch.		TR 95 TP080-1	GA	Turkey	17.3 km E from Silvan to Bitlis								wheat wild relatives and neglected	Kilian		
WW-237	Triticum	 araraticum Jakubz.	subsp. kurdistanicum Dorof. et Migusch.		2643-2 (2011)	GA	Turkey									wheat wild relatives and neglected	Kilian		
WW-238	Triticum	 araraticum Jakubz.	subsp. kurdistanicum Dorof. et Migusch.		2661-2 (2011)	GA	Turkey	1 km North of Akcaburc								wheat wild relatives and neglected	Kilian		
WW-239	Triticum	 araraticum Jakubz.	subsp. kurdistanicum Dorof. et Migusch.		2794-1	GA	Turkey	45 km SE of Maras (Maras - Gaziantep),								wheat wild relatives and neglected	Kilian		
WW-256	Triticum	timopheevii (Zhuk.) Zhuk.			TR 106 TP041-TP045	GA 	former Soviet Union	USSR								wheat wild relatives and neglected	Kilian		
WW-269	Triticum	timopheevii (Zhuk.) Zhuk.			TR 104 TP031-TP034	GA 	former Soviet Union									wheat wild relatives and neglected	Kilian		
WW-242	Triticum	zhukovskyi	A.M.Menabde & Eritzjan		TRI 7258	GAA	Georgia									wheat wild relatives and neglected	Kilian		
WW-272	Aegilops	speltoides Tausch	subsp. speltoides		Spel-332/1	Ss	Turkey	Turkey, Diyarbakir; 37°58`N, 40°20`E								wheat wild relatives and neglected	Kilian		
WW-274	Aegilops	speltoides Tausch	subsp. speltoides		SPE 351-2-1	Ss	Turkey	Turkey, Adiyaman; 38°1`N, 38°31`E								wheat wild relatives and neglected	Kilian		
WW-246	Aegilops	tauschii Coss.														wheat wild relatives and neglected			
WW-248	Aegilops	tauschii Coss.														wheat wild relatives and neglected			
WW-259	Triticum	dicoccoides (Koern. ex Aschers. et Graebn.) Schweinf.														wheat wild relatives and neglected			
WW-266	Triticum	dicoccon Schrank														wheat wild relatives and neglected			
WW-273	triticum	aestivum			TRI 6655		Iran									GENDIV	Kilian		
