Whealbi serial number	Taxonomy	Taxonomy	Taxonomy	Variety/Genotype	Acession number	Genome	Country of origin	Collection site	Altitude	Latitude	Longitude	Growth habit	Biological status	Year listed / recommended; acquisition year; released	Pedigree	Population	Seed source	Source genebank	Breeder
WW-143	Triticum	aestivum	var. lutescens	Mackoviko vahladka	TRI 0159	BAD	Poland					Winter				GENDIV	IPK/Kilian		
WW-144	Triticum	aestivum	var. ferrugineum	Kujawischer Weizen	TRI 1416	BAD	Poland					Winter				GENDIV	IPK/Kilian		
WW-145	Triticum	aestivum	var. milturum	Zdzislawka	TRI 6830	BAD	Poland					Winter				GENDIV	IPK/Kilian		
WW-146	Triticum	aestivum	var. suberythrospermum		TRI 3338	BAD	India					Winter				GENDIV	IPK/Kilian		
WW-147	Triticum	aestivum	var. aestivum		TRI 12409	BAD	India					Winter				GENDIV	IPK/Kilian		
WW-148	Triticum	aestivum		Bussard		BAD	Germany						cultivar	1990			Marion Röder		
WW-149	Triticum	aestivum		Flair		BAD	Germany						cultivar	1996			Marion Röder		
WW-150	Triticum	aestivum		Ritmo		BAD	Germany						cultivar	1993			Marion Röder		
WW-151	Triticum	aestivum		Brando		BAD	France						cultivar	2000			Marion Röder		
WW-152	Triticum	aestivum		Recital		BAD	France						cultivar	1986			Marion Röder		
WW-153	Triticum	aestivum		Contur		BAD	Denmark?						cultivar				Marion Röder		
WW-154	Triticum	aestivum		Apache		BAD	France						cultivar	1999			Marion Röder		
WW-155	Triticum	aestivum		Monty		BAD	United Kingdom ?						cultivar				Marion Röder		
WW-156	Triticum	aestivum		Timber		BAD	United Kingdom						cultivar	2007			Marion Röder		
WW-157	Triticum	aestivum		Renan		BAD	France						cultivar	1989			Marion Röder		
WW-158	Triticum	aestivum		Sperber		BAD	Germany						cultivar	1982			Marion Röder		
WW-159	Triticum	aestivum		Victo		BAD	unknown						cultivar				Marion Röder		
WW-160	Triticum	aestivum		JB Asano		BAD	Germany						cultivar	2008			Marion Röder		
WW-161	Triticum	aestivum		Interet		BAD	France						cultivar	2007			Marion Röder		
